               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025399,             0.01491,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010363,                   0,            0.003303,            0.003303,            0.070273
                   1,             0.02567,            0.014476,                   0,                   0,                   0,                   0,                   0,                   0,          0.00090996,                   0,            0.006505,            0.006505,            0.040141
                   2,            0.029446,            0.014394,                   0,                   0,                   0,                   0,                   0,                   0,            0.001095,                   0,           0.0095749,           0.0095749,           0.0098779
                   3,            0.032325,            0.013809,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014181,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.029848,            0.014541,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010909,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.031017,            0.013848,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012386,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.028551,            0.013747,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011957,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.02975,            0.013989,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011999,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.026372,             0.01377,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018119,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.025832,            0.012877,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012209,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.024895,            0.012567,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013314,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028468,            0.013442,                   0,                   0,                   0,                   0,                   0,                   0,          0.00082685,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023469,            0.012171,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011784,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024845,            0.012125,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011011,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.023391,            0.012404,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009831,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.023057,             0.01241,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013694,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.022166,            0.011896,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011328,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.023137,            0.011587,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010299,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.020724,            0.011282,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011639,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.019265,            0.010807,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014756,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.020658,            0.011285,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098564,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021458,            0.011086,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011089,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.019802,             0.01084,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010827,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.018022,            0.010512,                   0,                   0,                   0,                   0,                   0,                   0,          0.00088894,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.019647,            0.010272,                   0,                   0,                   0,                   0,                   0,                   0,          0.00095082,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.019292,            0.010657,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011555,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02035,            0.010898,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012142,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.019592,            0.010812,                   0,                   0,                   0,                   0,                   0,                   0,          0.00079733,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.017749,            0.010155,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009556,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.017334,            0.010163,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010073,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.017246,            0.010137,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011209,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.017992,           0.0099867,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011718,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.016614,            0.010295,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011405,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.017282,           0.0095321,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011977,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.017662,           0.0099384,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010528,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.017646,            0.010158,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009509,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.016935,            0.010111,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010617,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.01538,            0.010021,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010805,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.016282,           0.0098446,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010711,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017723,           0.0094391,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010002,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017005,           0.0093052,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010097,                   0,            0.002278,            0.002278,            0.002278
